I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, A1, A2, A3, 
-200, -248, -48, 224, -75, -148, 180, -112, -478, -653, -605, -434, 73, 107, 24, 
-204, -253, -48, 229, -78, -151, 175, -126, -502, -683, -634, -448, 73, 97, 19, 
-209, -268, -58, 239, -75, -163, 180, -136, -531, -717, -663, -468, 87, 102, 14, 
-214, -283, -68, 248, -73, -175, 195, -161, -566, -751, -702, -492, 97, 107, 4, 
-224, -297, -73, 261, -75, -185, 195, -175, -600, -785, -722, -517, 102, 112, 0, 
-224, -302, -78, 263, -73, -190, 195, -185, -619, -814, -751, -531, 112, 102, -14, 
-234, -317, -82, 275, -75, -200, 195, -200, -653, -849, -780, -551, 122, 102, -19, 
-244, -331, -87, 287, -78, -209, 195, -214, -688, -888, -810, -570, 126, 102, -24, 
-244, -356, -112, 300, -65, -234, 195, -229, -722, -927, -834, -595, 131, 102, -39, 
-248, -356, -107, 302, -70, -231, 185, -253, -756, -971, -868, -605, 141, 92, -48, 
-253, -370, -117, 312, -68, -244, 180, -278, -785, -1000, -883, -629, 156, 92, -53, 
-263, -385, -122, 324, -70, -253, 180, -302, -805, -1019, -917, -639, 156, 92, -58, 
-263, -405, -141, 334, -61, -273, 175, -317, -834, -1039, -932, -658, 165, 92, -63, 
-268, -414, -146, 341, -61, -280, 165, -346, -868, -1073, -966, -678, 180, 92, -82, 
-268, -429, -161, 348, -53, -295, 170, -356, -897, -1112, -990, -692, 185, 92, -87, 
-273, -434, -161, 353, -56, -297, 170, -366, -922, -1132, -1010, -707, 185, 82, -92, 
-278, -439, -161, 358, -58, -300, 170, -375, -941, -1146, -1010, -722, 185, 78, -97, 
-283, -448, -165, 366, -58, -307, 175, -390, -951, -1166, -1029, -732, 190, 82, -107, 
-283, -458, -175, 370, -53, -317, 175, -400, -946, -1171, -1049, -736, 190, 78, -107, 
-278, -468, -190, 373, -43, -329, 180, -405, -946, -1185, -1049, -741, 195, 78, -107, 
-278, -473, -195, 375, -41, -334, 180, -400, -951, -1185, -1054, -736, 200, 78, -107, 
-273, -483, -209, 378, -31, -346, 195, -405, -971, -1195, -1054, -746, 195, 78, -112, 
-268, -488, -219, 378, -24, -353, 200, -400, -951, -1190, -1054, -746, 195, 78, -117, 
-258, -483, -224, 370, -17, -353, 200, -400, -951, -1180, -1049, -741, 195, 73, -122, 
-253, -478, -224, 366, -14, -351, 200, -385, -951, -1166, -1044, -732, 195, 63, -117, 
-253, -483, -229, 368, -12, -356, 204, -370, -917, -1156, -1024, -727, 185, 68, -126, 
-234, -473, -239, 353, 2, -356, 195, -361, -912, -1132, -1005, -712, 185, 68, -126, 
-224, -458, -234, 341, 4, -346, 195, -346, -893, -1102, -980, -697, 180, 63, -126, 
-224, -453, -229, 339, 2, -341, 190, -346, -858, -1068, -961, -678, 175, 58, -117, 
-209, -444, -234, 326, 12, -339, 185, -336, -824, -1029, -932, -668, 175, 58, -97, 
-204, -424, -219, 314, 7, -322, 185, -307, -780, -990, -897, -639, 170, 58, -92, 
-200, -409, -209, 305, 4, -309, 180, -292, -741, -946, -863, -614, 161, 58, -78, 
-190, -390, -200, 290, 4, -295, 175, -273, -702, -902, -824, -590, 151, 63, -73, 
-175, -361, -185, 268, 4, -273, 165, -248, -663, -858, -780, -561, 131, 58, -68, 
-156, -331, -175, 244, 9, -253, 156, -239, -614, -810, -732, -527, 122, 53, -63, 
-141, -317, -175, 229, 17, -246, 146, -219, -570, -756, -683, -497, 112, 48, -58, 
-131, -287, -156, 209, 12, -222, 141, -200, -522, -707, -649, -463, 102, 43, -58, 
-131, -273, -141, 202, 4, -207, 131, -180, -473, -658, -590, -419, 102, 48, -53, 
-117, -253, -136, 185, 9, -195, 117, -161, -434, -595, -546, -390, 92, 43, -43, 
-102, -239, -136, 170, 17, -187, 107, -146, -395, -546, -502, -361, 82, 43, -34, 
-92, -219, -126, 156, 17, -173, 97, -131, -361, -497, -468, -326, 78, 39, -24, 
-82, -195, -112, 139, 14, -153, 92, -107, -312, -439, -414, -292, 58, 34, -14, 
-73, -180, -107, 126, 17, -143, 87, -92, -278, -400, -375, -268, 53, 34, -14, 
-58, -161, -102, 109, 21, -131, 73, -78, -244, -356, -336, -239, 48, 34, -14, 
-53, -146, -92, 100, 19, -119, 68, -73, -209, -317, -302, -214, 43, 29, -14, 
-53, -122, -68, 87, 7, -95, 68, -58, -170, -273, -258, -190, 29, 29, -9, 
-48, -112, -63, 80, 7, -87, 63, -48, -136, -239, -224, -165, 24, 24, -4, 
-43, -102, -58, 73, 7, -80, 58, -39, -117, -204, -200, -151, 14, 24, 4, 
-39, -92, -53, 65, 7, -73, 53, -29, -87, -180, -175, -122, 9, 19, 9, 
-43, -82, -39, 63, -2, -61, 39, -14, -63, -151, -141, -97, 4, 9, 9, 
-34, -68, -34, 51, 0, -51, 39, -14, -48, -126, -122, -82, 4, 9, 4, 
-29, -53, -24, 41, -2, -39, 34, -4, -34, -97, -102, -68, 0, 9, 0, 
-24, -39, -14, 31, -4, -26, 34, 4, -19, -73, -82, -53, 0, 4, -4, 
-24, -43, -19, 34, -2, -31, 24, 14, -9, -48, -63, -43, -9, 14, 4, 
-19, -39, -19, 29, 0, -29, 29, 19, 4, -39, -48, -39, -9, 14, 4, 
-19, -34, -14, 26, -2, -24, 29, 19, 24, -24, -34, -29, -14, 9, 4, 
-19, -29, -9, 24, -4, -19, 29, 19, 34, -4, -14, -19, -14, 9, 9, 
0, -34, -34, 17, 17, -34, 19, 19, 43, 14, 4, -9, -4, 9, 9, 
0, -24, -24, 12, 12, -24, 19, 29, 48, 24, 14, 0, -9, 9, 9, 
0, -24, -24, 12, 12, -24, 19, 34, 53, 34, 14, 9, -9, 9, 9, 
0, -24, -24, 12, 12, -24, 19, 34, 58, 43, 29, 19, -9, 9, 14, 
-4, -14, -9, 9, 2, -12, 19, 34, 63, 43, 34, 9, -14, 0, 4, 
-4, -14, -9, 9, 2, -12, 19, 39, 68, 48, 39, 9, -14, 0, 4, 
-4, -9, -4, 7, 0, -7, 19, 39, 73, 58, 43, 19, -14, 0, 9, 
-4, -4, 0, 4, -2, -2, 19, 39, 73, 63, 48, 24, -14, 0, 9, 
0, -9, -9, 4, 4, -9, 19, 43, 82, 78, 48, 29, -4, 0, 0, 
4, -14, -19, 4, 12, -17, 19, 43, 87, 78, 53, 29, -9, -4, 4, 
9, -19, -29, 4, 19, -24, 24, 48, 87, 78, 53, 29, -9, -9, 4, 
14, -19, -34, 2, 24, -26, 24, 48, 92, 82, 53, 29, -9, -14, 4, 
14, -24, -39, 4, 26, -31, 29, 63, 87, 73, 53, 29, -9, -19, 4, 
14, -29, -43, 7, 29, -36, 29, 63, 92, 78, 58, 34, -9, -19, 4, 
14, -29, -43, 7, 29, -36, 29, 63, 92, 78, 58, 34, -14, -14, 9, 
14, -29, -43, 7, 29, -36, 29, 63, 92, 78, 63, 39, -14, -14, 9, 
14, -39, -53, 12, 34, -46, 14, 58, 82, 78, 53, 29, -4, -29, 0, 
14, -39, -53, 12, 34, -46, 9, 53, 82, 82, 53, 29, -4, -29, 0, 
19, -39, -58, 9, 39, -48, 4, 48, 82, 82, 53, 29, -4, -29, 0, 
19, -39, -58, 9, 39, -48, -4, 43, 82, 82, 53, 29, -4, -29, 0, 
19, -34, -53, 7, 36, -43, -19, 43, 92, 92, 58, 39, -4, -39, -9, 
14, -29, -43, 7, 29, -36, -29, 43, 92, 92, 63, 39, 0, -39, -14, 
14, -24, -39, 4, 26, -31, -34, 39, 92, 92, 68, 34, 0, -39, -14, 
14, -19, -34, 2, 24, -26, -39, 39, 92, 87, 73, 34, 0, -39, -14, 
24, -24, -48, 0, 36, -36, -48, 29, 92, 87, 73, 34, 0, -29, -14, 
24, -19, -43, -2, 34, -31, -53, 29, 87, 87, 73, 34, 0, -29, -14, 
24, -14, -39, -4, 31, -26, -53, 24, 87, 87, 73, 34, 0, -29, -19, 
19, -9, -29, -4, 24, -19, -48, 24, 82, 87, 68, 34, 0, -29, -19, 
19, 0, -19, -9, 19, -9, -48, 34, 92, 87, 68, 39, -4, -24, -14, 
14, -9, -24, -2, 19, -17, -48, 29, 82, 87, 68, 34, -4, -19, -9, 
14, -9, -24, -2, 19, -17, -48, 29, 82, 87, 68, 34, -4, -14, -4, 
9, -9, -19, 0, 14, -14, -43, 29, 82, 87, 73, 34, -9, -9, 0, 
9, -4, -14, -2, 12, -9, -34, 34, 87, 87, 78, 43, -19, -4, 4, 
9, 0, -9, -4, 9, -4, -34, 34, 92, 92, 78, 43, -19, 0, 14, 
9, 4, -4, -7, 7, 0, -34, 29, 97, 97, 73, 43, -19, 4, 24, 
9, 9, 0, -9, 4, 4, -34, 29, 97, 97, 73, 48, -19, 9, 34, 
9, 19, 9, -14, 0, 14, -29, 29, 107, 97, 82, 48, -29, 24, 43, 
4, 24, 19, -14, -7, 21, -19, 29, 107, 97, 82, 48, -29, 34, 43, 
4, 24, 19, -14, -7, 21, -14, 29, 102, 97, 82, 43, -29, 39, 43, 
0, 19, 19, -9, -9, 19, -9, 29, 102, 97, 78, 34, -29, 43, 43, 
