I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-102, -141, -39, 122, -31, -90, 209, 248, 14, -29, -117, -102, 
-102, -136, -34, 119, -34, -85, 209, 258, 19, -29, -117, -102, 
-102, -146, -43, 124, -29, -95, 214, 273, 19, -24, -112, -102, 
-102, -161, -58, 131, -21, -109, 219, 287, 34, -14, -107, -102, 
-97, -146, -48, 122, -24, -97, 234, 297, 39, -4, -97, -92, 
-97, -126, -29, 112, -34, -78, 244, 312, 39, 4, -92, -92, 
-92, -122, -29, 107, -31, -75, 248, 326, 58, 9, -87, -97, 
-97, -117, -19, 107, -39, -68, 248, 346, 78, 19, -82, -92, 
-92, -126, -34, 109, -29, -80, 253, 361, 82, 24, -73, -87, 
-87, -136, -48, 112, -19, -92, 253, 370, 92, 39, -53, -82, 
-78, -126, -48, 102, -14, -87, 253, 400, 107, 48, -48, -73, 
-73, -112, -39, 92, -17, -75, 253, 419, 122, 53, -34, -58, 
-63, -97, -34, 80, -14, -65, 248, 434, 131, 53, -29, -63, 
-58, -78, -19, 68, -19, -48, 248, 448, 146, 63, -29, -58, 
-48, -68, -19, 58, -14, -43, 239, 463, 156, 78, -19, -48, 
-34, -48, -14, 41, -9, -31, 239, 488, 170, 102, -4, -43, 
-24, -43, -19, 34, -2, -31, 244, 502, 175, 122, 19, -14, 
-14, -34, -19, 24, 2, -26, 239, 517, 195, 146, 53, 14, 
9, -9, -19, 0, 14, -14, 234, 522, 209, 156, 73, 34, 
29, 0, -29, -14, 29, -14, 219, 536, 219, 175, 87, 39, 
43, 29, -14, -36, 29, 7, 204, 556, 229, 200, 102, 53, 
53, 48, -4, -51, 29, 21, 190, 566, 244, 219, 117, 63, 
73, 68, -4, -70, 39, 31, 175, 575, 248, 244, 131, 82, 
87, 92, 4, -90, 41, 48, 161, 590, 268, 263, 156, 97, 
117, 112, -4, -114, 61, 53, 141, 595, 283, 283, 175, 112, 
131, 131, 0, -131, 65, 65, 122, 600, 297, 307, 200, 131, 
146, 151, 4, -148, 70, 78, 87, 600, 307, 322, 219, 151, 
165, 165, 0, -165, 82, 82, 68, 600, 317, 341, 239, 170, 
180, 190, 9, -185, 85, 100, 43, 585, 317, 356, 253, 190, 
190, 204, 14, -197, 87, 109, 19, 575, 326, 375, 278, 204, 
200, 224, 24, -212, 87, 124, -9, 551, 322, 375, 283, 214, 
209, 239, 29, -224, 90, 134, -29, 527, 317, 390, 302, 229, 
229, 244, 14, -236, 107, 129, -53, 488, 297, 380, 302, 234, 
