I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, X, Y, Z
736,932,195,-834,270,563,-1454,-1952,-1434,-639,-170,546,424,585,1019
1112,990,-122,-1051,617,434,-2332,-2781,-2205,-1054,-302,849,795,556,1869
1400,1088,-312,-1244,856,387,-3025,-3318,-2605,-1268,-370,1054,1112,575,2420
1610,1088,-522,-1349,1066,283,-3328,-3498,-2644,-1317,-409,1161,1288,556,2591
1488,610,-878,-1049,1183,-134,-2674,-2713,-2015,-917,-136,1151,1346,209,2156
1102,302,-800,-702,951,-248,-1859,-1908,-1293,-517,39,878,1039,58,1566
736,165,-570,-451,653,-202,-1273,-1390,-1137,-707,-380,405,551,39,1210
463,48,-414,-256,439,-183,-873,-1005,-976,-756,-556,97,214,24,932
278,0,-278,-139,278,-139,-590,-697,-697,-585,-448,-9,68,14,649
102,-48,-151,-26,126,-100,-302,-375,-453,-405,-322,-82,-34,-19,385
-14,-73,-58,43,21,-65,-78,-117,-224,-219,-195,-102,-63,-43,165
-73,-102,-29,87,-21,-65,43,9,-97,-112,-117,-107,-87,-58,34
-112,-107,4,109,-58,-51,92,53,-53,-97,-92,-107,-107,-63,-14
-112,-107,4,109,-58,-51,112,82,-53,-92,-92,-107,-117,-68,-34
-122,-107,14,114,-68,-46,136,107,-39,-82,-92,-117,-117,-68,-53
-122,-112,9,117,-65,-51,156,126,-14,-63,-87,-126,-126,-73,-73
-131,-117,14,124,-73,-51,161,126,-14,-63,-87,-126,-136,-73,-73
-131,-117,14,124,-73,-51,161,126,-19,-73,-92,-131,-136,-73,-78
-131,-117,14,124,-73,-51,161,131,-19,-73,-92,-131,-136,-73,-82
-136,-117,19,126,-78,-48,175,136,-9,-68,-97,-131,-136,-78,-87
-146,-117,29,131,-87,-43,190,131,-4,-63,-97,-136,-136,-78,-87
-146,-117,29,131,-87,-43,190,131,0,-68,-97,-136,-146,-78,-87
-141,-117,24,129,-82,-46,190,136,0,-73,-97,-136,-151,-78,-87
-136,-117,19,126,-78,-48,190,136,0,-73,-97,-136,-151,-78,-87
-136,-117,19,126,-78,-48,195,136,0,-73,-92,-136,-151,-78,-92
-136,-122,14,129,-75,-53,190,141,0,-73,-87,-136,-151,-73,-92
-136,-122,14,129,-75,-53,190,141,4,-68,-82,-136,-151,-73,-92
-136,-122,14,129,-75,-53,195,141,4,-68,-82,-136,-146,-73,-97
-136,-122,14,129,-75,-53,195,141,4,-68,-82,-136,-146,-73,-97
-136,-122,14,129,-75,-53,195,151,9,-58,-82,-136,-146,-78,-97
-141,-126,14,134,-78,-56,200,156,9,-53,-82,-136,-146,-82,-102
